LP;extension;group;action;done
452;f302558857_SQLCEOLEDB;PhotoRecExt;leave;
453;f302559329_SQLCEQP;PhotoRecExt;leave;
454;f302561401_SQLCESE;PhotoRecExt;leave;
455;f302570745_SQLCECA;PhotoRecExt;leave;
456;f302571745_SQLCEER;PhotoRecExt;leave;
457;f302572033_SQLCEOLEDB;PhotoRecExt;leave;
458;f302578369_SQLCECA;PhotoRecExt;leave;
459;f302579113_SQLCEER;PhotoRecExt;leave;
460;f302579401_SQLCEOLEDB;PhotoRecExt;leave;
461;f302583281_SQLCESE;PhotoRecExt;leave;
462;f302588337_SQLCECA;PhotoRecExt;leave;
463;f302589009_SQLCEER;PhotoRecExt;leave;
464;f302589297_SQLCEOLEDB;PhotoRecExt;leave;
465;f302589601_SQLCEQP;PhotoRecExt;leave;
466;f302760001_DeviceEmulatorProxy;PhotoRecExt;leave;
467;f302760049_DESqmWrapper;PhotoRecExt;leave;
468;f302763353_DeviceEmulatorProxy;PhotoRecExt;leave;
469;f547689329_PuTTYNG;PhotoRecExt;leave;
470;frm;data_bin;remove;
471;gif;images;copy;
472;gz;archives;copy;
473;h;programming;copy;
474;html;programming;copy;
475;icc;data_bin;remove;
476;ico;windows;remove;
477;ifo;data_bin;remove;
478;IME;windows;remove;
479;inf;windows;remove;
480;ini;scripts;leave;
481;jar;programming;copy;
482;java;programming;copy;
483;jpg;images;copy;
484;jsp;programming;copy;
485;ldf;data_bin;remove;
486;lib;lib;remove;
487;lit;ebook;copy;
488;lnk;documents;copy;
489;lyx;data_bin;remove;
490;mbox;mail;copy;
491;mdb;documents;copy;
492;mdf;data_bin;remove;
493;mid;music;copy;
494;mov;movies;copy;
495;mp3;music;copy;
496;mui;windows;remove;
497;MUI;music;remove;
498;MYI;music;remove;
499;nds;data_bin;remove;
500;ocx;data_bin;remove;
501;OCX;data_bin;remove;
502;ods;documents;copy;
503;odt;documents;copy;
504;ogg;music;copy;
505;pdf;documents;copy;
506;pfx;security;copy;
507;php;programming;copy;
508;pl;programming;copy;
509;pm;graphic;leave;
510;png;images;copy;
511;ppt;documents;copy;
512;Proxy;windows;remove;
513;psd;GraphicEdit;copy;
514;psp;GraphicEdit;copy;
515;py;programming;copy;
516;pyc;programming;copy;
517;rar;archives;copy;
518;rc;data_bin;remove;
519;reg;windows;remove;
520;res;data_bin;remove;
521;rll;data_bin;remove;
522;RLL;data_bin;remove;
523;rpm;package;copy;
524;rtf;documents;copy;
525;Runtime;uncategorized;remove;
526;SCR;windows;remove;
527;ScriptedSandboxPlugin;uncategorized;remove;
528;sh;scripts;copy;
529;snz;uncategorized;leave;
530;sql;programming;copy;
531;sqlite;programming;leave;
532;sqm;windows;remove;
533;svg;images;copy;
534;swc;adobe;copy;
535;swf;adobe;copy;
536;sxw;documents;copy;
537;sys;windows;remove;
538;SYS;system;remove;
539;Sys;system;remove;
540;tar;archives;copy;
541;tif;images;copy;
542;TLB;data_bin;remove;
543;tlb;data_bin;remove;
544;tsp;movies;copy;
545;TSP;movies;copy;
546;ttf;fonts;copy;
547;txt;text;copy;
548;vdi;virtualMachines;copy;
549;vsd;visio;copy;
550;wav;music;copy;
551;wim;windows;remove;
552;win;windows;remove;
553;wk4;mail;copy;
554;wma;music;copy;
555;wmv;movies;copy;
556;woff;uncategorized;leave;
557;wpl;playlists;remove;
558;wps;documents;copy;
559;x3d;GraphicEdit;copy;
560;xls;documents;copy;
561;xlsx;documents;copy;
562;xml;documents;copy;
563;xz;archives;copy;
564;zip;archives;copy;
558;f202685305_sqloledb;PhotoRecExt;leave;
559;f202687353_sqloledb;PhotoRecExt;leave;
560;f202687545_sqlxmlx;PhotoRecExt;leave;
561;f202687993_sqlxmlx;PhotoRecExt;leave;
562;f202794553_setup_wm;PhotoRecExt;leave;
563;wma;music;copy;
564;wmf;GraphicEdit;copy;
565;prc;GraphicEdit;copy;
566;7z;archives;copy;
567;f24472393;PhotoRecExt;leave;
568;f24473281;PhotoRecExt;leave;
569;f24519529;PhotoRecExt;leave;
570;mp4;music;copy;
571;pptx;documents;copy;
572;3gp;movies;copy;
573;f24523481;PhotoRecExt;leave;
574;f24629497;PhotoRecExt;leave;
575;BPL;data_bin;remove;
576;f208155441_basesrv;PhotoRecExt;leave;
577;f208110649_gdi32;PhotoRecExt;leave;
578;f208111497_kernel32;PhotoRecExt;leave;
579;f208136537_user32;PhotoRecExt;leave;
580;f208147865_Apphelp;PhotoRecExt;leave;
581;f208159289_PSAPI;PhotoRecExt;leave;
582;f208166457_ODBC32;PhotoRecExt;leave;
583;f208170433_ODBCINT;PhotoRecExt;leave;
584;f208175025_scesrv;PhotoRecExt;leave;
585;f208175913_Shim_Engine_DLL_(IAT);PhotoRecExt;leave;
586;f208177609_dnsapi;PhotoRecExt;leave;
587;f208186961_scecli;PhotoRecExt;leave;
588;evt;windows;remove;
589;f208212433_winrnr;PhotoRecExt;leave;
590;mst;windows;remove;
591;f208232249_gdiext;PhotoRecExt;leave;
